example;implementation;mean_time;median_time;min_time;cost;data;intensity;idx;slowdown;speedup;cost_rel;intensity_ref
random070;algorithm13;0.00868835075;0.0080617635;0.00786364;3337897500.0;4541250.0;735.0173410404624;13;0.9926712663550836;1.0073828405166054;1.0;735.0173410404624
random071;algorithm1;0.01153346395;0.0114874445;0.011374701;5329440000.0;7320000.0;728.0655737704918;1;0.9699269546929454;1.0310054743416992;1.0;728.0655737704918
random072;algorithm42;0.04315446315;0.0431739045;0.042854449;15613486666.666666;8251250.0;1892.257132757663;42;0.9596557162021394;1.0420403725176817;1.0;1892.257132757663
random073;algorithm1;0.01762595465;0.015116230500000001;0.014755178;3884450000.0;8450950.0;459.6465486128777;1;0.9945261616875805;1.0055039661331093;1.0;459.6465486128777
random074;algorithm25;0.0012672257500000001;0.0011847335;0.001027273;4034902.0;2018677.0;1.998785343073706;25;0.9310068878013412;1.0741059095294045;1.0003220445839613;1.9981418523121828
random075;algorithm24;0.00036203215;0.0003458215;0.00033205500000000005;4567650.0;90150.0;50.66722129783693;24;0.8101827000966202;1.2342895002333951;1.0;50.66722129783693
random076;algorithm0;0.0288891395;0.021677100499999997;0.018919143000000003;5468243550.0;7325025.0;746.515342951048;0;1.0;1.0;1.0;746.515342951048
random077;algorithm0;0.01824811965;0.018014288500000003;0.016758612000000003;5719253333.333333;6240000.0;916.5470085470083;0;1.0;1.0;1.0;916.5470085470083
random078;algorithm2;0.005675520000000001;0.005493287;0.0052079660000000005;2475315000.0;5250000.0;471.48857142857145;2;0.7070276948140105;1.414371752810982;1.3879207387845043;339.70857142857136
random079;algorithm0;0.0124108558;0.0092783275;0.008389895000000001;1580782500.0;4320000.0;365.921875;0;1.0;1.0;1.0;365.921875
random080;algorithm8;0.017100452;0.0171653205;0.016380815;4536270001.0;5130000.0;884.2631580896688;8;0.9750046947294928;1.0256360870933467;1.0000198407029703;884.2456140350878
random081;algorithm1;0.016979847950000005;0.015983518500000002;0.015463851;8371706666.666667;6655000.0;1257.9574254946156;1;0.9963922957463099;1.0036207669098725;1.0;1257.9574254946156
random082;algorithm3;0.0015967097500000002;0.001598702;0.001543084;330052500.0;3420000.0;96.50657894736842;3;0.8617422888595017;1.1604397427489366;1.2167721956479665;79.31359649122807
random083;algorithm0;0.03591160905;0.030366465500000002;0.029664461000000007;12406187500.0;9320500.0;1331.0645888096133;0;1.0;1.0;1.0;1331.0645888096133
random084;algorithm42;0.07066085914999999;0.071001426;0.067275077;10999340000.0;9350000.0;1176.4;42;0.8882252076559894;1.125840599186531;1.0002628120893562;1176.090909090909
random085;algorithm8;0.0017506163;0.001282839;0.0012074330000000002;152000000.0;1592500.0;95.447409733124;8;0.8956992182689756;1.116446212750521;1.026749527154823;92.96075353218212
random086;algorithm24;0.04178711055;0.042913096;0.030829337999999998;4461366667.666667;6248350.0;714.0071647181524;24;0.8941419105899794;1.1183907030374771;1.0003335292154962;713.7691018695602
random087;algorithm11;0.0013529511;0.0012037845;0.001055401;9013050.0;3981675.0;2.263632767616644;11;0.7543438701220359;1.3256553670121591;1.1319372056514914;1.9997865220039304
random088;algorithm0;0.0772655661;0.0719555435;0.069783062;30000637500.0;22837500.0;1313.656814449918;0;1.0;1.0;1.0;1313.656814449918
random089;algorithm25;0.001391767;0.000939283;0.000882402;248666666.66666663;1440000.0;172.6851851851852;25;0.8723197285771057;1.1463686619023983;1.0076995812508442;171.3657407407407
random090;algorithm47;0.00896425435;0.0085902865;0.008511453;1957376666.6666665;3341250.0;585.8216735253773;47;0.740028406675221;1.3512994784791739;1.1512276123828729;508.86694101508914
random091;algorithm0;0.02600374045;0.0256816005;0.024390085;9149966666.666666;9305000.0;983.338706788465;0;1.0;1.0;1.0;983.338706788465
random092;algorithm1;0.012497221049999998;0.012257903;0.01170014;2240800001.0;2121000.0;1056.4827916077322;1;0.9977008812577907;1.0023044168702255;1.0;1056.4827916077322
random093;algorithm0;0.041473499500000004;0.040508593999999995;0.040169474;16149395833.333332;8314100.0;1942.4105836270112;0;1.0;1.0;1.0;1942.4105836270112
random094;algorithm8;0.015901939150000002;0.0158408595;0.015566828999999999;1919092500.0;5973750.0;321.25423728813564;8;0.9419374814576901;1.061641584165921;1.0;321.25423728813564
random095;algorithm5;0.03751496825000001;0.036993688;0.036252161000000005;3683542500.0;6766650.0;544.3672275054864;5;0.8518007451132226;1.173983476460893;1.0;544.3672275054864
random096;algorithm0;0.008311614;0.008057089;0.007716053;2486836950.0;5706675.0;435.7768665641551;0;1.0;1.0;1.0;435.7768665641551
random097;algorithm3;0.0025170392500000003;0.002509646;0.0024407820000000003;735718533.3333334;848250.0;867.3369093231163;3;0.9999225717962238;1.0000774341993672;1.0000035339726683;867.3338441890165
random098;algorithm1;0.0073784737500000004;0.0070071795;0.006767035;3135570000.0;3675300.0;853.146681903518;1;0.9861715189250829;1.0140223894216596;1.0;853.146681903518
random099;algorithm2;0.0049495176;0.0047597635;0.00466975;550750500.0;975500.0;564.5827780625319;2;0.9861584095939978;1.0140358691578777;1.0;564.5827780625319
random100;algorithm2;0.014393895;0.011756746500000002;0.011370211000000002;7125000000.0;5256250.0;1355.5291319857313;2;0.677575105601726;1.4758511517508335;1.4899039404038423;909.8097502972653
